Round,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Year
Group stage,Sat,11/16/91,20:45 (07:45),China PR cn,4–0,no Norway,"65,000",Tianhe Stadium (Neutral Site),Salvador Imperatore Marcone,Match Report,1991
Group stage,Sun,11/17/91,15:30 (02:30),Germany de,4–0,ng Nigeria,"14,000",Jiangmen Stadium (Neutral Site),Rafael Rodriguez,Match Report,1991
Group stage,Sun,11/17/91,19:45 (06:45),Japan jp,0–1,br Brazil,"14,000",New Plaza Stadium (Neutral Site),Lu Jun,Match Report,1991
Group stage,Sun,11/17/91,19:45 (06:45),Chinese Taipei tw,0–5,it Italy,"11,000",Jiangmen Stadium (Neutral Site),Fathi Boucetta,Match Report,1991
Group stage,Sun,11/17/91,19:45 (06:45),Denmark dk,3–0,nz New Zealand,"14,000",Tianhe Stadium (Neutral Site),Omer Yengo,Match Report,1991
Group stage,Sun,11/17/91,19:45 (06:45),Sweden se,2–3,us USA,"14,000",Ying Dong Stadium (Neutral Site),John Toro Rendón,Match Report,1991
Group stage,Tue,11/19/91,15:30 (02:30),Norway no,4–0,nz New Zealand,"12,000",Guangdong Provincial Stadium (Neutral Site),Salvador Imperatore Marcone,Match Report,1991
Group stage,Tue,11/19/91,15:30 (02:30),Italy it,1–0,ng Nigeria,"12,000",Zhongshan Stadium (Neutral Site),Jim McCluskey,Match Report,1991
Group stage,Tue,11/19/91,19:45 (06:45),China PR cn,2–2,dk Denmark,"27,000",Guangdong Provincial Stadium (Neutral Site),Vassilios Nikakis,Match Report,1991
Group stage,Tue,11/19/91,19:45 (06:45),Brazil br,0–5,us USA,"15,500",Ying Dong Stadium (Neutral Site),Vadim Zhuk,Match Report,1991
Group stage,Tue,11/19/91,19:45 (06:45),Japan jp,0–8,se Sweden,"14,000",New Plaza Stadium (Neutral Site),Gyanu Shrestha,Match Report,1991
Group stage,Tue,11/19/91,19:45 (06:45),Chinese Taipei tw,0–3,de Germany,"10,000",Zhongshan Stadium (Neutral Site),Fathi Boucetta,Match Report,1991
Group stage,Thu,11/21/91,15:30 (02:30),Japan jp,0–3,us USA,"14,000",New Plaza Stadium (Neutral Site),John Toro Rendón,Match Report,1991
Group stage,Thu,11/21/91,15:30 (02:30),Brazil br,0–2,se Sweden,"12,000",Ying Dong Stadium (Neutral Site),Lu Jun,Match Report,1991
Group stage,Thu,11/21/91,19:45 (06:45),Chinese Taipei tw,2–0,ng Nigeria,"14,000",Jiangmen Stadium (Neutral Site),Rafael Rodriguez,Match Report,1991
Group stage,Thu,11/21/91,19:45 (06:45),China PR cn,4–1,nz New Zealand,"14,000",New Plaza Stadium (Neutral Site),Gyanu Shrestha,Match Report,1991
Group stage,Thu,11/21/91,19:45 (06:45),Norway no,2–1,dk Denmark,"15,500",Ying Dong Stadium (Neutral Site),Vadim Zhuk,Match Report,1991
Group stage,Thu,11/21/91,19:45 (06:45),Italy it,0–2,de Germany,"12,000",Zhongshan Stadium (Neutral Site),Jim McCluskey,Match Report,1991
Quarter-finals,Sun,11/24/91,15:30 (02:30),Germany de,2–1,dk Denmark,"12,000",Zhongshan Stadium (Neutral Site),Vassilios Nikakis,Match Report,1991
Quarter-finals,Sun,11/24/91,19:45 (06:45),Norway no,3–2,it Italy,"13,000",Jiangmen Stadium (Neutral Site),Rafael Rodriguez,Match Report,1991
Quarter-finals,Sun,11/24/91,19:45 (06:45),USA us,7–0,tw Chinese Taipei,"12,000",New Plaza Stadium (Neutral Site),Omer Yengo,Match Report,1991
Quarter-finals,Sun,11/24/91,19:45 (06:45),China PR cn,0–1,se Sweden,"55,000",Tianhe Stadium (Neutral Site),John Toro Rendón,Match Report,1991
