,,,,,,,,,,
,Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard,Year,,https://www.espncricinfo.com/
,Australia,West Indies,West Indies,17 runs,Lord's,21-Jun-75,ODI # 33,1975,,
,England,Australia,Australia,4 wickets,Leeds,18-Jun-75,ODI # 31,1975,,
,New Zealand,West Indies,West Indies,5 wickets,The Oval,18-Jun-75,ODI # 32,1975,,
,England,East Africa,England,196 runs,Birmingham,14-Jun-75,ODI # 27,1975,,
,India,New Zealand,New Zealand,4 wickets,Manchester,14-Jun-75,ODI # 28,1975,,
,Australia,West Indies,West Indies,7 wickets,The Oval,14-Jun-75,ODI # 29,1975,,
,Pakistan,Sri Lanka,Pakistan,192 runs,Nottingham,14-Jun-75,ODI # 30,1975,,
,England,New Zealand,England,80 runs,Nottingham,11-Jun-75,ODI # 23,1975,,
,East Africa,India,India,10 wickets,Leeds,11-Jun-75,ODI # 24,1975,,
,Australia,Sri Lanka,Australia,52 runs,The Oval,11-Jun-75,ODI # 25,1975,,
,Pakistan,West Indies,West Indies,1 wicket,Birmingham,11-Jun-75,ODI # 26,1975,,
,England,India,England,202 runs,Lord's,7-Jun-75,ODI # 19,1975,,
,East Africa,New Zealand,New Zealand,181 runs,Birmingham,7-Jun-75,ODI # 20,1975,,
,Australia,Pakistan,Australia,73 runs,Leeds,7-Jun-75,ODI # 21,1975,,
,Sri Lanka,West Indies,West Indies,9 wickets,Manchester,7-Jun-75,ODI # 22,1975,,
,England,West Indies,West Indies,92 runs,Lord's,23-Jun-79,ODI # 74,1979,,
,England,New Zealand,England,9 runs,Manchester,20-Jun-79,ODI # 72,1979,,
,Pakistan,West Indies,West Indies,43 runs,The Oval,20-Jun-79,ODI # 73,1979,,
,India,Sri Lanka,Sri Lanka,47 runs,Manchester,"Jun 16-18, 1979",ODI # 68,1979,,
,New Zealand,West Indies,West Indies,32 runs,Nottingham,16-Jun-79,ODI # 69,1979,,
,Australia,Canada,Australia,7 wickets,Birmingham,16-Jun-79,ODI # 70,1979,,
,England,Pakistan,England,14 runs,Leeds,16-Jun-79,ODI # 71,1979,,
,India,New Zealand,New Zealand,8 wickets,Leeds,13-Jun-79,ODI # 65,1979,,
,Australia,Pakistan,Pakistan,89 runs,Nottingham,"Jun 13-14, 1979",ODI # 66,1979,,
,England,Canada,England,8 wickets,Manchester,"Jun 13-14, 1979",ODI # 67,1979,,
,India,West Indies,West Indies,9 wickets,Birmingham,9-Jun-79,ODI # 61,1979,,
,New Zealand,Sri Lanka,New Zealand,9 wickets,Nottingham,9-Jun-79,ODI # 62,1979,,
,England,Australia,England,6 wickets,Lord's,9-Jun-79,ODI # 63,1979,,
,Canada,Pakistan,Pakistan,8 wickets,Leeds,9-Jun-79,ODI # 64,1979,,
,India,West Indies,India,43 runs,Lord's,25-Jun-83,ODI # 223,1983,,
,England,India,India,6 wickets,Manchester,22-Jun-83,ODI # 221,1983,,
,Pakistan,West Indies,West Indies,8 wickets,The Oval,22-Jun-83,ODI # 222,1983,,
,England,Sri Lanka,England,9 wickets,Leeds,20-Jun-83,ODI # 217,1983,,
,New Zealand,Pakistan,Pakistan,11 runs,Nottingham,20-Jun-83,ODI # 218,1983,,
,Australia,India,India,118 runs,Chelmsford,20-Jun-83,ODI # 219,1983,,
,West Indies,Zimbabwe,West Indies,10 wickets,Birmingham,20-Jun-83,ODI # 220,1983,,
,England,Pakistan,England,7 wickets,Manchester,18-Jun-83,ODI # 213,1983,,
,New Zealand,Sri Lanka,Sri Lanka,3 wickets,Derby,18-Jun-83,ODI # 214,1983,,
