league,window,metric,n,size_r2,p_raw,p_size,p_year,p_size_year
nba,1981-2000,deck's win% spread,20,0.7951206215758003,0.0006874803291788479,0.7496847667072037,0.6754015805524011,0.8405723730168859
nba,1981-2000,SD of win%,20,0.40004157166047377,0.05131198904583482,0.5612880196970491,0.9793097559581654,0.66495797731247
nba,1981-2000,Noll-Scully,20,0.20459780612410358,0.18453200161045907,0.6823160292090077,0.9236834429833488,0.8143088908009535
nba,1981-2000,HHI of wins,20,0.9741181076692329,8.831583887569556e-06,0.19052767374431584,0.14949677400656267,0.20578292236910314
nba,1981-2000,RSD of wins,20,0.4001040532117368,0.05139462026831242,0.5601869164453671,0.9794253806351345,0.6643583972036982
nba,1981-2000,mean |win% - .5|,20,0.43583394131519637,0.02578695638182413,0.7680319465318476,0.8444802269993974,0.8590402060430474
nba,Full,deck's win% spread,42,0.4541557538467944,5.7863464151632254e-05,0.49151258181828267,0.0034371997867060733,0.7221138678786259
nba,Full,SD of win%,42,0.0046241426641245404,0.5102483616735315,0.6074051651911413,0.059294712704878454,0.9035117753285786
nba,Full,Noll-Scully,42,5.891749433735738e-05,0.7919682468610878,0.7188598846657851,0.12828393223500822,0.9907289671643303
nba,Full,HHI of wins,42,0.9766378023915084,5.655422695955555e-10,0.3964954150258319,1.805261253780356e-05,0.28431480211698795
nba,Full,RSD of wins,42,0.0078326568102385,0.42874712069904836,0.5730493279790828,0.06066324880463872,0.8402509645569488
nba,Full,mean |win% - .5|,42,0.017593528579608848,0.2712810074615456,0.48057667849718183,0.04495623870055704,0.7072319947974403
nfl,Full,deck's win% spread,53,0.1076765121175341,0.6703414409006667,0.27801424352568743,0.4467252995833891,0.2821134811492996
nfl,Full,SD of win%,53,0.049875925027397176,0.10490388841588852,0.3746866638731775,0.3985577330287378,0.376637334894347
nfl,Full,Noll-Scully,53,0.0007763751675076459,0.5267000299142548,0.5342799083181581,0.5569278243181146,0.5382554327856034
nfl,Full,HHI of wins,53,0.8730373936033884,6.246787749739846e-06,0.13815213314581326,0.028017026501286447,0.14155802667944745
nfl,Full,RSD of wins,53,0.06737557631787287,0.06286593694783321,0.3156338562671595,0.3129121845298826,0.3186097503700913
nfl,Full,mean |win% - .5|,53,0.057629742409865015,0.048901600693302065,0.2216701311460322,0.20931464313059234,0.2256388450547276
ncaaf,Full,deck's win% spread,54,0.7384979597002964,0.5640166760320956,0.019439655066486306,0.7785956863359041,0.06132820070108423
ncaaf,Full,SD of win%,54,0.010394138502607744,0.0028354848082944284,0.0036396361178835826,0.04068902372013682,0.05355081801066747
ncaaf,Full,Noll-Scully,54,0.003920713196873248,0.2790945274680537,0.3005916115838106,0.00924892564334657,0.0064393994890904515
ncaaf,Full,HHI of wins,54,0.9044193368455192,0.23330103816216993,0.08532612298844702,0.17869243722435993,0.9369982017185201
ncaaf,Full,RSD of wins,54,0.01067444920807095,0.10270249171541661,0.11910282755168375,0.3469915529001624,0.41663906151109037
ncaaf,Full,mean |win% - .5|,54,0.0037282762707220828,0.02410494393317323,0.027555298876712698,0.07457306472108133,0.08535494701239008
