league,window,metric,n,slope,r_squared,p_value,significant
nba,1981-2000,deck's win% spread,20,-90.99156919257227,0.48167698333273606,0.0006874803291788492,True
nba,1981-2000,SD of win%,20,-643.3678750074354,0.19493480871415245,0.05131198904583526,False
nba,1981-2000,Noll-Scully,20,-22.301061679534662,0.0956590487842841,0.18453200161046046,False
nba,1981-2000,HHI of wins,20,5165.3551267080375,0.6753729664754919,8.831583887569515e-06,True
nba,1981-2000,RSD of wins,20,-321.21284396843834,0.19481104683131942,0.05139462026831272,False
nba,1981-2000,mean |win% - .5|,20,-772.5721498214941,0.247013134335558,0.025786956381824246,True
nba,2000-Present,deck's win% spread,23,4.9518560185767635,0.008896704163497738,0.6685896145933612,False
nba,2000-Present,SD of win%,23,55.255781661267214,0.01665590564272501,0.5572800263574519,False
nba,2000-Present,Noll-Scully,23,2.981251783121481,0.017149033289777155,0.5514520477779464,False
nba,2000-Present,HHI of wins,23,-767.516242565338,0.007532117364136222,0.693763549991073,False
nba,2000-Present,RSD of wins,23,15.974354084232386,0.005950656187870544,0.7264559296205438,False
nba,2000-Present,mean |win% - .5|,23,31.42860312041911,0.005352153719991427,0.7400898389733105,False
nba,Full,deck's win% spread,42,-71.14503696322758,0.3358130509111063,5.786346415163303e-05,True
nba,Full,SD of win%,42,-122.94558577296513,0.010915132301570388,0.5102483616735389,False
nba,Full,Noll-Scully,42,-2.544300534270262,0.0017594962974961592,0.7919682468610943,False
nba,Full,HHI of wins,42,3633.475233505567,0.6216818748528882,5.655422695955275e-10,True
nba,Full,RSD of wins,42,-73.48517824445962,0.01572702555972662,0.42874712069905524,False
nba,Full,mean |win% - .5|,42,-217.7380506777364,0.030171476380028185,0.2712810074615481,False
nfl,1975-Present,deck's win% spread,49,-6.737104965925862,0.010512540471774788,0.4832795240156797,False
nfl,1975-Present,SD of win%,49,109.9727855438661,0.05180226891202364,0.1157651898191782,False
nfl,1975-Present,Noll-Scully,49,7.773429153618322,0.013733972837411696,0.4225901411256371,False
nfl,1975-Present,HHI of wins,49,2055.5532505289566,0.37446581999551465,2.9855056712320552e-06,True
nfl,1975-Present,RSD of wins,49,52.33363622375644,0.04732516267894616,0.1332157987088652,False
nfl,1975-Present,mean |win% - .5|,49,102.5283551714291,0.049433396230920384,0.12466938947555638,False
nfl,Full,deck's win% spread,53,-7.622436725018486,0.0035815624452665497,0.6703414409006554,False
nfl,Full,SD of win%,53,203.4566841335047,0.050729779391675056,0.10490388841589145,False
nfl,Full,Noll-Scully,53,11.301409037013887,0.007903884033181947,0.5267000299142643,False
nfl,Full,HHI of wins,53,3116.0200811717596,0.3323726378525807,6.246787749740279e-06,True
nfl,Full,RSD of wins,53,110.76102559214897,0.06621578706573299,0.06286593694783432,False
nfl,Full,mean |win% - .5|,53,234.83164581044227,0.07392296984803155,0.04890160069330221,True
ncaaf,Full,deck's win% spread,54,-14.496480581062892,0.006440909257323065,0.5640166760320989,False
ncaaf,Full,SD of win%,54,-1615.291253869208,0.15885015735895028,0.002835484808294382,True
ncaaf,Full,Noll-Scully,54,92.16467644249263,0.022489222074260393,0.27909452746805347,False
ncaaf,Full,HHI of wins,54,-7207.726705983863,0.027206042960426686,0.23330103816216924,False
ncaaf,Full,RSD of wins,54,-286.2979725623091,0.050391468647876504,0.10270249171541694,False
ncaaf,Full,mean |win% - .5|,54,-1343.0816323544598,0.09404480919733349,0.024104943933173594,True
