season,champion,prior_titles,prior_titles_10y,prior_top4,prior_top8,career_win_pct,years_since_title,seasons_of_history,pedigree_index,n_teams,win_pct_sd,noll_scully,mov_sd,top_bottom_gap,hhi_wins,gini_wins,strength_sd,upset_rate,title_hhi,unique_champions,title_entropy,elite_holdover,start_year
1980-1981,Boston Celtics,0,0,0,0,,,0,-1.1160663467521166,23,0.16061470357334212,2.908855999408778,4.236994516121571,0.573,0.04776727328341106,0.1790769514500438,0.6814375752855509,0.3181336161187699,,,,,1980
1981-1982,Los Angeles Lakers,0,0,0,1,0.6585365853658537,,1,-1.0737487591725035,23,0.15274026624569673,2.766243873912869,3.890789722412613,0.585,0.04736018820375395,0.167734796440592,0.6384772439424966,0.3361611876988335,,,,0.75,1981
1982-1983,Philadelphia 76ers,0,0,2,2,0.7317073170731707,,2,-0.9155681841298722,23,0.16128869606473004,2.9210625225882385,4.561229378000538,0.622,0.0478055077936551,0.17833925031121767,0.6795452692257704,0.30965005302226933,,,,0.75,1982
1983-1984,Boston Celtics,1,1,3,3,0.7357723577235772,3.0,3,-0.518159892485297,23,0.11458402167717546,2.0752048939270207,3.0886874426812883,0.439,0.04565987704231323,0.1268845958780949,0.45002256592522105,0.3660618996798292,0.3333333333333333,3.0,1.0986122886681096,0.25,1983
1984-1985,Los Angeles Lakers,1,1,2,4,0.6798780487804879,3.0,4,-0.5337737986371929,23,0.1462402998370924,2.648524475483133,3.931478214185677,0.5,0.047036319411098586,0.1613721241182166,0.5986864965584086,0.3361611876988335,0.375,3.0,1.0397207708399179,0.5,1984
1985-1986,Boston Celtics,2,2,5,5,0.7463414634146341,2.0,5,-0.02050251952959964,23,0.14367022790874864,2.601978493195396,4.0359418333535775,0.5369999999999999,0.046910370436177046,0.15842131956291208,0.58139737483781,0.33191940615058324,0.3600000000000001,3.0,1.0549201679861442,1.0,1985
1986-1987,Los Angeles Lakers,2,2,4,6,0.7052845528455285,2.0,6,-0.036116425681495465,23,0.15443648681091532,2.7969637349074357,4.596325607581462,0.647,0.0474411554019178,0.16948683664530406,0.6502062399748204,0.3297985153764581,0.3888888888888889,3.0,1.0114042647073516,0.5,1986
1987-1988,Los Angeles Lakers,3,3,5,7,0.7177700348432056,1.0,7,0.3612918659630797,23,0.15749645833272496,2.8523821761908734,4.665723638954499,0.549,0.04760308979824549,0.1743741066900272,0.6604159516961283,0.31919406150583246,0.3877551020408163,3.0,1.0042424730540764,0.75,1987
1988-1989,Detroit Pistons,0,0,2,5,0.524390243902439,,8,-0.7886154213910326,25,0.1622216796033543,2.9379595731278085,5.347551215276017,0.585,0.04404140392623438,0.17857560975609757,0.7080322675203747,0.31121951219512195,0.40625,3.0,0.9743147528693494,0.5,1988
1989-1990,Detroit Pistons,1,1,3,6,0.551490514905149,1.0,9,-0.3912071297464574,27,0.173985959088985,3.1510197363579593,4.7233955204032245,0.561,0.041353822150085394,0.19284686674027235,0.7514009162460282,0.2981029810298103,0.3333333333333333,4.0,1.2148896539491205,0.75,1989
1990-1991,Chicago Bulls,0,0,0,3,0.48048780487804876,,10,-0.989113584013277,27,0.15810718892853415,2.863442977712266,4.926424418364453,0.524,0.040603076913033505,0.17785807487704508,0.662984548442428,0.3215898825654923,0.30000000000000004,4.0,1.2798542258336674,0.75,1990
1991-1992,Chicago Bulls,1,1,1,4,0.5044345898004434,1.0,11,-0.5917052923687018,27,0.15947883425551673,2.8882845311297736,4.78846328447662,0.6339999999999999,0.040666727052696604,0.17839338887216033,0.6819145721868666,0.31125226860254085,0.26000000000000006,5.0,1.4708084763221112,0.75,1991
1992-1993,Chicago Bulls,2,2,2,5,0.5304878048780488,1.0,12,-0.19429700072412678,27,0.15841728768362698,2.869059105028711,4.823745751687486,0.622,0.04061450129707561,0.17504767640268995,0.6784643833291799,0.3261065943992773,0.22000000000000003,5.0,1.5571130980576458,0.5,1992
1993-1994,Houston Rockets,0,0,0,3,0.5168855534709194,,13,-0.989113584013277,27,0.17725198956927904,3.210170064101876,5.155125405721761,0.609,0.04152192380099049,0.19726320719997323,0.7777706176679372,0.2944896115627823,0.26,4.0,1.366158847569202,0.25,1993
1994-1995,Houston Rockets,1,1,0,4,0.5304878048780488,1.0,14,-0.649636786100211,27,0.1613078757197886,2.9214098809149824,4.779660014849368,0.549,0.04074669774099126,0.18207367258857773,0.6883019440639742,0.3044263775971093,0.24000000000000002,5.0,1.5047882836811908,0.5,1994
1995-1996,Chicago Bulls,3,3,3,7,0.5536585365853659,3.0,15,0.24542887850006156,29,0.17127306575812554,3.1018871484587254,5.057293177749762,0.6950000000000001,0.03839159211753946,0.1912357530234042,0.7606211123211168,0.29957805907172996,0.22000000000000003,5.0,1.5571130980576458,0.75,1995
1996-1997,Chicago Bulls,4,4,4,8,0.5739329268292683,1.0,16,0.6428371701446367,29,0.1909225592886294,3.457754611834829,5.287433214708249,0.6699999999999999,0.03933944533610238,0.21530698065601345,0.875587221714604,0.2649789029535865,0.28,4.0,1.3321790402101223,0.75,1996
1997-1998,Chicago Bulls,5,5,5,9,0.5896700143472023,1.0,17,1.0402454617892118,29,0.1894470304330513,3.4310316476954394,5.36007111102744,0.622,0.03926163648980244,0.21113076766915112,0.8910926316954576,0.28450465707027944,0.3400000000000001,4.0,1.2206072645530173,0.5,1997
1998-1999,San Antonio Spurs,0,0,3,9,0.5453929539295393,,18,-0.5614135773410707,29,0.1592841127401869,2.252617525077374,4.335789994550853,0.58,0.03786159334126041,0.17664684898929844,0.6671041277289664,0.3103448275862069,0.44000000000000006,3.0,0.9502705392332347,0.0,1998
1999-2000,Los Angeles Lakers,4,0,10,13,0.6657929226736566,12.0,19,0.4507432707810489,29,0.16098667447837386,2.915592679019266,4.596924812740594,0.6339999999999999,0.037931812571221614,0.17911313476987326,0.6989984761603107,0.3103448275862069,0.42000000000000004,4.0,1.0888999753452235,0.5,1999
2000-2001,Los Angeles Lakers,5,1,11,14,0.6735074626865671,1.0,20,0.848151562425624,29,0.1571590374562888,2.846271224211319,4.429103424267392,0.524,0.03777195075973264,0.1729648212058815,0.6927292306276384,0.3105485232067511,0.42000000000000004,4.0,1.0888999753452235,0.25,2000
