season,champion,prior_titles,prior_titles_10y,prior_top4,prior_top8,career_win_pct,years_since_title,seasons_of_history,pedigree_index,n_teams,win_pct_sd,noll_scully,mov_sd,top_bottom_gap,hhi_wins,gini_wins,title_hhi,unique_champions,title_entropy,start_year
1970,Nebraska,0,0,0,0,,,0,-0.5120494174451483,123,0.2358086127616892,1.5641773817294702,12.868107479240853,1.0,0.010121649766361094,0.2808776032965809,,,,1970
1971,Nebraska,1,1,0,0,1.0,1.0,1,-0.12082766990621027,128,0.22813670043341486,1.5132876724946944,11.18287286723383,1.0,0.009697226687854691,0.27422211262553803,,,,1971
1972,USC,0,0,0,0,0.6,,2,-0.5120494174451483,127,0.21938840036844012,1.4552580147567684,11.917856585259015,0.909,0.009547130759251973,0.25978570860460626,,,,1972
1973,Notre Dame,0,0,0,0,0.8125,,3,-0.5120494174451483,129,0.24150891035129482,1.6019888783256484,12.81764458305274,1.0,0.009728984162691605,0.2838897403433953,0.5555555555555556,2.0,0.6365141682948128,1973
1974,Oklahoma,0,0,0,1,0.8666666666666667,,4,-0.48530058668565523,129,0.2217248845272101,1.4707564973232667,10.979642455454202,0.909,0.009390763826640147,0.26120612656720366,0.375,3.0,1.0397207708399179,1974
1975,Oklahoma,1,1,0,2,0.8928571428571429,1.0,5,-0.06733000838722408,137,0.23875543982751593,1.5837244211282926,10.749407215025977,0.909,0.009198222222222224,0.2913284671532847,0.28,4.0,1.3321790402101223,1975
1976,Pitt,0,0,0,0,0.45454545454545453,,6,-0.5120494174451483,137,0.22523552674370434,1.4940434633338529,11.08442060662751,1.0,0.008923525642897508,0.2680735858262142,0.2777777777777778,4.0,1.329661348854758,1976
1977,Notre Dame,1,1,0,0,0.8205128205128205,4.0,7,-0.12082766990621027,145,0.2335217695595799,1.5490081800179274,11.021294686256361,0.8260000000000001,0.008498129261735422,0.2751834414895873,0.22448979591836732,5.0,1.5498260458782016,1977
1978,Alabama,0,0,0,0,0.8421052631578947,,8,-0.5120494174451483,138,0.22051781537390872,1.4627497063682415,11.354834711547456,0.923,0.0089111328125,0.27307895531400966,0.21875,5.0,1.559581156259877,1978
1979,Alabama,1,1,0,0,0.8504672897196262,1.0,9,-0.12082766990621027,140,0.23491506807489615,1.5582502768104538,11.336013770344444,1.0,0.008967142733142372,0.28647102251753415,0.18518518518518517,6.0,1.7351264569629228,1979
1980,Georgia,0,0,0,0,0.6637168141592921,,10,-0.5120494174451483,138,0.2251971137240001,1.4937886601870058,11.508297982923803,1.0,0.00892570239334027,0.2740065451145395,0.18000000000000005,6.0,1.7480673485460894,1980
1981,Clemson,0,0,7,11,0.512396694214876,,11,0.03359131685899577,137,0.22696744838795105,1.5055317318543764,10.96420464420627,1.0,0.009007240236702695,0.2750349636952315,0.16000000000000006,7.0,1.8866967846580782,1981
1982,Penn State,0,0,0,0,0.8169014084507042,,12,-0.5120494174451483,113,0.2321018092173609,1.539589228673277,11.229290313787752,0.958,0.010995623101483876,0.2804841066357897,0.16000000000000006,7.0,1.8866967846580782,1982
1983,Miami (FL),0,0,0,0,0.46853146853146854,,13,-0.5120494174451483,112,0.23163095217424637,1.536465916389463,10.46339143337219,0.884,0.011119526627218936,0.28244505494505495,0.16000000000000006,7.0,1.8866967846580782,1983
1984,BYU,0,0,0,0,0.6890243902439024,,14,-0.5120494174451483,110,0.21771516558975204,1.444159030862605,9.584533769202208,1.0,0.011083456189832756,0.2661432070306872,0.14,8.0,2.0253262207700677,1984
1985,Oklahoma,2,1,0,8,0.8323699421965318,10.0,15,0.23106173775740196,110,0.2204106375025267,1.4620387687978353,10.712334440539637,0.867,0.011113610571199646,0.26672929614106083,0.12000000000000002,9.0,2.163955656882057,1985
1986,Penn State,1,1,0,0,0.8042328042328042,4.0,16,-0.12082766990621027,105,0.21323573345473318,1.4144458395311688,10.454376826725008,0.909,0.011475285664819944,0.25708020050125313,0.12000000000000002,9.0,2.163955656882057,1986
1987,Miami (FL),1,1,0,0,0.5572916666666666,4.0,17,-0.12082766990621027,104,0.21979699180476223,1.457968303730434,10.36894458781596,1.0,0.011824441239088487,0.2716786125687956,0.14,8.0,2.0253262207700677,1987
1988,Notre Dame,2,0,0,0,0.7044334975369458,11.0,18,-0.23625189426981333,105,0.24055946124732736,1.59569094545485,10.757761103317174,1.0,0.012031327757212542,0.2931096092596908,0.16000000000000006,7.0,1.8866967846580782,1988
1989,Miami (FL),2,2,0,0,0.6018518518518519,2.0,19,0.2703940776327277,106,0.2424266278715439,1.6080763276820516,11.408646759782158,0.923,0.012017016797508882,0.2990128701736849,0.14,8.0,2.0253262207700677,1989
1990,Colorado,0,0,0,0,0.5176991150442478,,20,-0.5120494174451483,107,0.222806138567882,1.4779287252351956,10.990417176136642,0.875,0.011404786680541101,0.2688574012662044,0.18000000000000005,7.0,1.8343719702816235,1990
1991,Miami (FL),3,3,0,0,0.6291666666666667,2.0,21,0.6616158251716657,107,0.24357141500827678,1.615669986476788,10.654865927929917,0.955,0.01195053184672562,0.30138659825300834,0.18000000000000005,7.0,1.8343719702816235,1991
1992,Alabama,2,0,0,0,0.789272030651341,13.0,22,-0.23625189426981333,107,0.21951384945035105,1.4560901498267547,9.669202159995532,0.909,0.011491306762356358,0.27020340846619023,0.24000000000000007,6.0,1.6094379124341,1992
1993,Florida State,0,0,1,1,0.6729323308270677,,23,-0.4493857872642667,106,0.2244251398489626,1.4886679648040937,10.86426617759883,1.0,0.011623465500960224,0.27444533218609796,0.22000000000000008,7.0,1.7480673485460891,1993
1994,Nebraska,2,0,0,4,0.8298611111111112,23.0,24,-0.12925657123184095,107,0.2317252513979127,1.537091426675309,11.209011334226266,1.0,0.011706660208798491,0.28564894573950694,0.16000000000000003,8.0,1.9730014063936128,1994
1995,Nebraska,3,1,0,4,0.8372093023255814,1.0,25,0.2619651763070971,108,0.23136212510968973,1.534682719376209,10.90566299926071,0.909,0.011541543392504931,0.28415835707502374,0.16000000000000003,8.0,1.9730014063936128,1995
1996,Florida,0,0,0,0,0.6521739130434783,,26,-0.5120494174451483,111,0.22672540658649173,1.5039262081763318,11.031876016892523,0.933,0.011157857933686849,0.2765972078949178,0.18000000000000005,7.0,1.8343719702816235,1996
1997,Michigan,0,0,0,0,0.7891373801916933,,27,-0.5120494174451483,112,0.23584713937195773,1.5644329383508802,10.86830572338557,1.0,0.01117998163452709,0.2863636363636364,0.18000000000000005,7.0,1.8343719702816235,1997
1998,Tennessee,0,0,0,0,0.7058823529411765,,28,-0.5120494174451483,112,0.24254767854473244,1.6088792870092243,10.633867443608501,1.0,0.011335114202732262,0.2958190761334474,0.14,8.0,2.0253262207700677,1998
1999,Florida State,1,1,7,7,0.7197640117994101,6.0,29,0.31781774135996144,113,0.21518659103981722,1.4273863647894538,10.004314529892666,1.0,0.010752447201405575,0.2622807482380372,0.14,8.0,2.0253262207700677,1999
2000,Oklahoma,3,0,0,8,0.7383720930232558,15.0,30,0.1156375133937989,116,0.23555065011715567,1.631942775035174,10.63805788594458,1.0,0.010748587301284616,0.2839306329368067,0.14,8.0,2.0253262207700677,2000
2001,Miami (FL),4,1,0,0,0.6796657381615598,10.0,31,0.29286861485679216,117,0.2300427989754254,1.5937832629631616,10.633130315920855,1.0,0.010616584011835548,0.28028335588963266,0.14,8.0,2.0253262207700677,2001
2002,Ohio State,0,0,0,0,0.75,,32,-0.5120494174451483,117,0.22069373813871532,1.5914451780659213,10.452258472528314,0.917,0.01040267536525863,0.2658522396742292,0.14,8.0,2.0253262207700677,2002
2003,USC,1,0,0,0,0.6832460732984293,31.0,33,-0.3741506558574808,117,0.23258975177743574,1.6114290695934088,10.139741239400744,0.929,0.010572919994267172,0.27808663813920054,0.14,8.0,2.0253262207700677,2003
2004,USC,2,1,0,0,0.6911392405063291,1.0,34,0.017071091681457193,120,0.2193875068258457,1.5199612334729145,10.64943940575572,1.0,0.010182266471083924,0.2669925512104283,0.12000000000000002,9.0,2.163955656882057,2004
2005,Texas,0,0,0,0,0.7,,35,-0.5120494174451483,119,0.21540793851286594,1.492389975431826,10.540012399768171,1.0,0.010170562716519463,0.25914276325055163,0.12000000000000002,9.0,2.163955656882057,2005
2006,Florida,1,1,0,0,0.6792452830188679,10.0,36,-0.12082766990621027,119,0.22841886719773336,1.6471518759296542,9.72041596027032,1.0,0.010296563755121913,0.27162661242841085,0.12000000000000002,9.0,2.163955656882057,2006
2007,LSU,0,0,0,0,0.6276346604215457,,37,-0.5120494174451483,120,0.2111089923538575,1.5223285932867368,9.673101620006914,0.8400000000000001,0.009954684259647465,0.2523130544993663,0.12000000000000002,9.0,2.163955656882057,2007
2008,Florida,2,1,0,0,0.6873614190687362,2.0,38,0.017071091681457193,120,0.21335003720494203,1.5384889975291365,9.607833477879154,1.0,0.009965734043942513,0.25218204488778057,0.12000000000000002,9.0,2.163955656882057,2008
2009,Alabama,3,0,0,0,0.7288135593220338,17.0,39,-0.09835313268214586,120,0.2219931485050682,1.600815359473431,9.83766534746916,1.0,0.010103767162058842,0.26117683686176835,0.14,8.0,2.0253262207700677,2009
2010,Auburn,0,0,0,0,0.6774193548387096,,40,-0.5120494174451483,120,0.22333269435294684,1.6104749619541534,10.296296122273048,0.923,0.010107527887269502,0.26338951310861425,0.14,8.0,2.0253262207700677,2010
2011,Alabama,4,1,0,0,0.7374749498997996,2.0,41,0.29286861485679216,120,0.22162157525621826,1.5981359066707923,9.90926380053672,0.8460000000000001,0.010051782844546792,0.2597808105872622,0.14,8.0,2.0253262207700677,2011
2012,Alabama,5,2,0,0,0.7421875,1.0,42,0.6840903623957302,124,0.2378027316808192,1.7148198850411969,9.951544337292022,1.0,0.009931775293946874,0.2753983676642052,0.16000000000000006,7.0,1.8866967846580782,2012
2013,Florida State,2,0,20,21,0.7140115163147792,14.0,43,1.0437695401073133,125,0.24252284894018647,1.7488571346508994,11.041243823106631,1.0,0.010002542529585802,0.2854615384615385,0.20000000000000004,6.0,1.6957425341696346,2013
2014,Ohio State,1,0,0,0,0.7741935483870968,12.0,44,-0.3741506558574808,128,0.21216961100997014,1.5299768231833926,10.036677824212912,0.8500000000000001,0.009367225527312058,0.2537609011627907,0.18000000000000005,7.0,1.8343719702816235,2014
