league,balance,powerhouse,n_tight,n_loose,rate_tight,rate_loose,difference,odds_ratio,p_fisher,q_fisher
NBA,mean |win% − median|,had won before,13,13,0.6923076923076923,0.6923076923076923,0.0,1.0,1.0,1.0
NBA,mean |win% − median|,top-3 most decorated,13,13,0.3076923076923077,0.5384615384615384,-0.23076923076923073,0.38095238095238093,0.42830798223179434,0.8055406693569876
NBA,mean |win% − median|,top-quartile career win%,13,13,0.38461538461538464,0.6153846153846154,-0.23076923076923078,0.390625,0.43375266811530105,0.8055406693569876
NBA,mean |win% − median|,already had 3+ titles,13,13,0.23076923076923078,0.5384615384615384,-0.30769230769230765,0.2571428571428571,0.22619464261677208,0.8055406693569876
NBA,SD of win%,had won before,13,13,0.6923076923076923,0.6923076923076923,0.0,1.0,1.0,1.0
NBA,SD of win%,top-3 most decorated,13,13,0.3076923076923077,0.5384615384615384,-0.23076923076923073,0.38095238095238093,0.42830798223179434,0.8055406693569876
NBA,SD of win%,top-quartile career win%,13,13,0.38461538461538464,0.6153846153846154,-0.23076923076923078,0.390625,0.43375266811530105,0.8055406693569876
NBA,SD of win%,already had 3+ titles,13,13,0.3076923076923077,0.5384615384615384,-0.23076923076923073,0.38095238095238093,0.42830798223179434,0.8055406693569876
NBA,Noll-Scully,had won before,13,13,0.6923076923076923,0.6923076923076923,0.0,1.0,1.0,1.0
NBA,Noll-Scully,top-3 most decorated,13,13,0.3076923076923077,0.5384615384615384,-0.23076923076923073,0.38095238095238093,0.42830798223179434,0.8055406693569876
NBA,Noll-Scully,top-quartile career win%,13,13,0.38461538461538464,0.6153846153846154,-0.23076923076923078,0.390625,0.43375266811530105,0.8055406693569876
NBA,Noll-Scully,already had 3+ titles,13,13,0.3076923076923077,0.5384615384615384,-0.23076923076923073,0.38095238095238093,0.42830798223179434,0.8055406693569876
NBA,SD of scoring margin,had won before,13,13,0.7692307692307693,0.6153846153846154,0.15384615384615385,2.0833333333333335,0.6727688787185354,0.9887970080728191
NBA,SD of scoring margin,top-3 most decorated,13,13,0.3076923076923077,0.46153846153846156,-0.15384615384615385,0.5185185185185185,0.6881679903082514,0.9887970080728191
NBA,SD of scoring margin,top-quartile career win%,13,13,0.46153846153846156,0.46153846153846156,0.0,1.0,1.0,1.0
NBA,SD of scoring margin,already had 3+ titles,13,13,0.23076923076923078,0.46153846153846156,-0.23076923076923078,0.35,0.41098398169336386,0.8055406693569876
NBA,Gini of wins,had won before,13,13,0.6923076923076923,0.6923076923076923,0.0,1.0,1.0,1.0
NBA,Gini of wins,top-3 most decorated,13,13,0.3076923076923077,0.5384615384615384,-0.23076923076923073,0.38095238095238093,0.42830798223179434,0.8055406693569876
NBA,Gini of wins,top-quartile career win%,13,13,0.38461538461538464,0.6153846153846154,-0.23076923076923078,0.390625,0.43375266811530105,0.8055406693569876
NBA,Gini of wins,already had 3+ titles,13,13,0.23076923076923078,0.5384615384615384,-0.30769230769230765,0.2571428571428571,0.22619464261677208,0.8055406693569876
NBA,best − worst win%,had won before,13,13,0.6153846153846154,0.7692307692307693,-0.15384615384615385,0.48,0.6727688787185354,0.9887970080728191
NBA,best − worst win%,top-3 most decorated,13,13,0.3076923076923077,0.5384615384615384,-0.23076923076923073,0.38095238095238093,0.42830798223179434,0.8055406693569876
NBA,best − worst win%,top-quartile career win%,13,13,0.38461538461538464,0.5384615384615384,-0.1538461538461538,0.5357142857142857,0.6950975905236234,0.9887970080728191
NBA,best − worst win%,already had 3+ titles,13,13,0.3076923076923077,0.46153846153846156,-0.15384615384615385,0.5185185185185185,0.6881679903082514,0.9887970080728191
NBA,upset rate,had won before,13,14,0.6923076923076923,0.7142857142857143,-0.02197802197802201,0.9,1.0,1.0
NBA,upset rate,top-3 most decorated,13,14,0.38461538461538464,0.5,-0.11538461538461536,0.625,0.7035671018979675,0.9887970080728191
NBA,upset rate,top-quartile career win%,13,14,0.38461538461538464,0.5714285714285714,-0.18681318681318676,0.46875,0.4494817606676537,0.8059672949902756
NBA,upset rate,already had 3+ titles,13,14,0.23076923076923078,0.5,-0.2692307692307692,0.3,0.2364607170099161,0.8055406693569876
NCAAF,mean |win% − median|,had won before,17,17,0.8235294117647058,0.8235294117647058,0.0,1.0,1.0,1.0
NCAAF,mean |win% − median|,top-3 most decorated,17,17,0.058823529411764705,0.5882352941176471,-0.5294117647058824,0.04375,0.002397725868248671,0.1246817451489309
NCAAF,mean |win% − median|,top-quartile career win%,17,17,0.9411764705882353,0.9411764705882353,0.0,1.0,1.0,1.0
NCAAF,mean |win% − median|,already had 3+ titles,17,17,0.11764705882352941,0.35294117647058826,-0.23529411764705885,0.24444444444444444,0.22450309547083744,0.8055406693569876
NCAAF,SD of win%,had won before,17,17,0.8235294117647058,0.7647058823529411,0.05882352941176472,1.435897435897436,1.0,1.0
NCAAF,SD of win%,top-3 most decorated,17,17,0.11764705882352941,0.5294117647058824,-0.4117647058823529,0.11851851851851852,0.02550982573229514,0.33162773451983685
NCAAF,SD of win%,top-quartile career win%,17,17,0.9411764705882353,0.9411764705882353,0.0,1.0,1.0,1.0
