season,unique_champions,combined_majors
1951,7,12
1952,5,10
1953,6,23
1954,5,20
1955,5,20
1956,3,17
1957,5,18
1958,5,12
1959,6,13
1960,5,18
1961,5,32
1962,3,27
1963,4,25
1964,4,18
1965,3,18
1966,4,19
1967,5,26
1968,6,42
1969,4,23
1970,5,32
1971,5,23
1972,6,23
1973,6,23
1974,5,31
1975,5,30
1976,7,32
1977,7,27
1978,5,25
1979,4,30
1980,4,23
1981,4,21
1982,5,35
1983,5,25
1984,5,31
1985,5,34
1986,4,27
1987,4,21
1988,4,22
1989,5,28
1990,6,36
1991,7,40
1992,5,25
1993,5,34
1994,4,28
1995,4,25
1996,6,32
1997,6,28
1998,5,21
1999,6,28
2000,5,29
2001,6,30
2002,7,30
2003,8,48
2004,5,31
2005,4,45
2006,3,44
2007,2,42
2008,3,64
2009,4,65
2010,3,43
2011,3,64
2012,4,67
2013,4,67
2014,5,51
2015,4,48
2016,3,28
2017,5,70
2018,3,64
2019,3,64
2020,3,45
2021,4,46
2022,4,46
2023,3,45
