season,new_players,returning_top10
1970,48,0
1971,19,4
1972,17,3
1973,12,5
1974,7,4
1975,10,8
1976,12,5
1977,15,7
1978,11,6
1979,10,4
1980,12,4
1981,8,8
1982,7,7
1983,7,9
1984,9,6
1985,13,7
1986,9,6
1987,11,8
1988,7,6
1989,6,4
1990,8,7
1991,15,6
1992,14,7
1993,9,5
1994,9,7
1995,5,8
1996,7,7
1997,7,5
1998,6,4
1999,12,7
2000,13,8
2001,10,7
2002,6,5
2003,15,7
2004,12,7
2005,12,6
2006,8,6
2007,13,5
2008,11,6
2009,10,7
2010,10,5
2011,12,5
2012,12,5
2013,13,8
2014,15,5
2015,9,7
2016,17,5
2017,12,7
2018,12,5
2019,21,5
2020,30,6
2021,86,0
2022,29,2
2023,22,4
