season,new_entrants,top10_pedigree
1980,84,0
1981,63,3
1982,57,7
1983,33,8
1984,42,9
1985,56,10
1986,44,6
1987,38,6
1988,47,12
1989,38,18
1990,54,15
1991,37,20
1992,35,17
1993,36,16
1994,30,6
1995,32,9
1996,46,10
1997,55,13
1998,35,4
1999,56,14
2000,37,15
2001,47,9
2002,41,10
2003,43,14
2004,42,19
2005,41,24
2006,28,11
2007,42,11
2008,40,12
2009,50,6
2010,58,3
2011,47,15
2012,31,12
2013,49,8
2014,45,13
2015,42,19
2016,40,17
2017,48,13
2018,34,15
2019,31,16
2020,44,9
2021,41,5
2022,35,20
2023,36,12
