season,start_year,team,bt,mov,win_pct,conf_rank,league_rank,strength_gap_to_best,league_strength_sd,prior_titles,prior_top4,career_win_pct,won_title,title_prob
1980-1981,1980,Atlanta Hawks,-0.4200959296268728,-0.33860307316109606,0.378,8.0,18.0,1.5818305103607218,0.6814375752855509,0,0,0.5,0,0.0
1980-1981,1980,Boston Celtics,1.1617345807338488,0.8643664947783254,0.756,1.5,1.0,0.0,0.6814375752855509,0,0,0.5,1,0.37495
1980-1981,1980,Chicago Bulls,0.2622580732559062,0.3343169583109556,0.549,5.0,8.0,0.8994765074779426,0.6814375752855509,0,0,0.5,0,0.00125
1980-1981,1980,Denver Nuggets,-0.2571010886175674,-0.13572697025444777,0.451,8.0,15.0,1.4188356693514161,0.6814375752855509,0,0,0.5,0,0.0002
1980-1981,1980,Golden State Warriors,-0.13102117353348341,-0.20144739795660144,0.476,7.0,14.0,1.2927557542673322,0.6814375752855509,0,0,0.5,0,0.00015
1980-1981,1980,Houston Rockets,-0.11490793177363998,-0.028574099000936378,0.488,5.5,12.0,1.2766425125074887,0.6814375752855509,0,0,0.5,0,0.0003
1980-1981,1980,Indiana Pacers,0.19788916856336036,0.24573725140805283,0.537,6.0,9.0,0.9638454121704885,0.6814375752855509,0,0,0.5,0,0.00055
1980-1981,1980,Kansas City Kings,-0.11490793177364005,-0.07000654255229412,0.488,5.5,13.0,1.276642512507489,0.6814375752855509,0,0,0.5,0,0.0004
1980-1981,1980,Los Angeles Lakers,0.5905570464061082,0.46718651866530975,0.659,2.0,5.0,0.5711775343277407,0.6814375752855509,0,0,0.5,0,0.06155
1980-1981,1980,Milwaukee Bucks,1.0180480188096843,1.0200953343334285,0.732,3.0,3.0,0.1436865619241645,0.6814375752855509,0,0,0.5,0,0.1265
1980-1981,1980,New York Knicks,0.5071855775230456,0.28574099000936376,0.61,4.0,6.0,0.6545490032108032,0.6814375752855509,0,0,0.5,0,0.01315
1980-1981,1980,Philadelphia 76ers,1.1429840897295447,1.1086750412363313,0.756,1.5,2.0,0.01875049100430415,0.6814375752855509,0,0,0.5,0,0.2438
1980-1981,1980,Phoenix Suns,0.7454835092003504,0.6900644908726135,0.695,1.0,4.0,0.4162510715334984,0.6814375752855509,0,0,0.5,0,0.1466
1980-1981,1980,Portland Trail Blazers,0.1521166894748602,0.07429265740243458,0.549,4.0,10.0,1.0096178912589886,0.6814375752855509,0,0,0.5,0,0.00335
1980-1981,1980,San Antonio Spurs,0.4609804969831557,0.3114576791102065,0.634,3.0,7.0,0.7007540837506931,0.6814375752855509,0,0,0.5,0,0.0271
1980-1981,1980,Washington Bullets,-0.041974030220344426,0.060005607901966386,0.476,7.0,11.0,1.2037086109541932,0.6814375752855509,0,0,0.5,0,0.00015
1981-1982,1981,Atlanta Hawks,0.09538987779748878,0.11572510095379233,0.512,6.0,13.0,1.0839849244819024,0.6384772439424966,0,0,0.3780487804878049,0,0.00125
1981-1982,1981,Boston Celtics,1.1793748022793913,0.9072276432797299,0.768,1.0,1.0,0.0,0.6384772439424966,1,1,0.7560975609756098,0,0.5196
1981-1982,1981,Denver Nuggets,0.19707351957115682,0.018573164350608646,0.561,5.0,9.0,0.9823012827082345,0.6384772439424966,0,0,0.45121951219512196,0,0.00585
1981-1982,1981,Detroit Pistons,-0.059794030814118736,-0.09000841185294958,0.476,7.0,15.0,1.23916883309351,0.6384772439424966,0,0,0.25609756097560976,0,0.0002
1981-1982,1981,Golden State Warriors,0.1713575153779115,0.11429639600374551,0.549,7.0,11.0,1.0080172869014798,0.6384772439424966,0,0,0.47560975609756095,0,0.00415
1981-1982,1981,Houston Rockets,0.19707351957115687,-0.055719493051825934,0.561,5.0,8.0,0.9823012827082345,0.6384772439424966,0,0,0.4878048780487805,0,0.00635
1981-1982,1981,Indiana Pacers,-0.24773430586321363,-0.212877037556976,0.427,8.0,16.0,1.4271091081426048,0.6384772439424966,0,0,0.5365853658536586,0,0.0
1981-1982,1981,Los Angeles Lakers,0.7617398383773165,0.6243440631704599,0.695,1.0,3.0,0.4176349639020748,0.6384772439424966,0,0,0.6585365853658537,1,0.16495
1981-1982,1981,Milwaukee Bucks,0.7251263466659728,0.7686432631251885,0.671,3.0,4.0,0.45424845561341853,0.6384772439424966,0,1,0.7317073170731707,0,0.06225
1981-1982,1981,New Jersey Nets,0.17964540182801,0.12429733065407324,0.537,4.0,10.0,0.9997294004513813,0.6384772439424966,0,0,0.2926829268292683,0,0.00265
1981-1982,1981,Philadelphia 76ers,0.8974361777641459,0.820076641326874,0.707,2.0,2.0,0.28193862451524543,0.6384772439424966,0,1,0.7560975609756098,0,0.16385
1981-1982,1981,Phoenix Suns,0.21872443527735191,0.4357550097642797,0.561,5.0,7.0,0.9606503670020394,0.6384772439424966,0,1,0.6951219512195121,0,0.00755
1981-1982,1981,Portland Trail Blazers,0.029912034179750472,0.055719493051825934,0.512,8.0,14.0,1.1494627680996408,0.6384772439424966,0,0,0.5487804878048781,0,0.00115
1981-1982,1981,San Antonio Spurs,0.29226990794485086,0.25573818605838056,0.585,3.0,6.0,0.8871048943345404,0.6384772439424966,0,0,0.6341463414634146,0,0.01295
1981-1982,1981,Seattle SuperSonics,0.5081987436224601,0.5271921265672761,0.634,2.0,5.0,0.6711760586569312,0.6384772439424966,0,0,0.4146341463414634,0,0.046
1981-1982,1981,Washington Bullets,0.13397434576470263,0.1514427247049628,0.524,5.0,12.0,1.0454004565146886,0.6384772439424966,0,0,0.47560975609756095,0,0.00125
1982-1983,1982,Atlanta Hawks,0.12281918710424296,-0.10286675640337095,0.524,6.0,13.0,1.1807594400681776,0.6795452692257704,0,0,0.4451219512195122,0,0.0011
1982-1983,1982,Boston Celtics,0.7918058585504025,0.7629284433250012,0.683,2.0,3.0,0.511772768622018,0.6795452692257704,1,2,0.7621951219512195,0,0.0966
1982-1983,1982,Dallas Mavericks,-0.170295033978817,-0.10000934650327731,0.463,8.0,16.0,1.4738736611512375,0.6795452692257704,0,0,0.2621951219512195,0,0.0001
1982-1983,1982,Denver Nuggets,0.16367530162136032,0.03857503365126411,0.549,6.5,11.0,1.1399033255510602,0.6795452692257704,0,0,0.5060975609756098,0,0.00245
1982-1983,1982,Detroit Pistons,-0.16329603627450776,-0.024287984150795923,0.451,8.0,15.0,1.4668746634469283,0.6795452692257704,0,0,0.36585365853658536,0,0.0
1982-1983,1982,Kansas City Kings,0.1636753016213603,0.14858531480486917,0.549,6.5,12.0,1.1399033255510602,0.6795452692257704,0,0,0.4268292682926829,0,0.0018
1982-1983,1982,Los Angeles Lakers,0.8334469097516026,0.7229247047236903,0.707,1.0,2.0,0.47013171742081794,0.6795452692257704,1,1,0.676829268292683,0,0.17405
1982-1983,1982,Milwaukee Bucks,0.5143433480532683,0.6172005384202257,0.622,3.0,6.0,0.7892352791191523,0.6795452692257704,0,2,0.7012195121951219,0,0.0214
1982-1983,1982,New Jersey Nets,0.4175332092716519,0.3957512711629688,0.598,4.0,7.0,0.8860454179007686,0.6795452692257704,0,0,0.4146341463414634,0,0.0097
1982-1983,1982,New York Knicks,0.1846630124388579,0.36860587711207926,0.537,5.0,10.0,1.1189156147335626,0.6795452692257704,0,0,0.5060975609756098,0,0.0013
1982-1983,1982,Philadelphia 76ers,1.3035786271724206,1.0758148273852546,0.793,1.0,1.0,0.0,0.6795452692257704,0,2,0.7317073170731707,1,0.5979
1982-1983,1982,Phoenix Suns,0.5743850544446817,0.6586329819715835,0.646,2.5,4.0,0.7291935727277389,0.6795452692257704,0,1,0.6280487804878049,0,0.04205
1982-1983,1982,Portland Trail Blazers,0.2319140853015799,0.2685965306088019,0.561,5.0,9.0,1.0716645418708406,0.6795452692257704,0,0,0.5304878048780488,0,0.004
1982-1983,1982,San Antonio Spurs,0.5543908244106207,0.44289853451451383,0.646,2.5,5.0,0.7491878027617999,0.6795452692257704,0,0,0.6097560975609756,0,0.03775
1982-1983,1982,Seattle SuperSonics,0.3282236911974445,0.4114670256134838,0.585,4.0,8.0,0.975354935974976,0.6795452692257704,0,0,0.524390243902439,0,0.00925
1982-1983,1982,Washington Bullets,0.0948410976162263,0.028574099000936378,0.512,7.0,14.0,1.2087375295561942,0.6795452692257704,0,0,0.5,0,0.00055
1983-1984,1983,Atlanta Hawks,-0.02471596702659879,-0.15430013460505643,0.488,7.0,12.0,1.1006524801523816,0.45002256592522105,0,0,0.4715447154471545,0,0.0017
1983-1984,1983,Boston Celtics,1.0759365131257828,0.9172285779300576,0.756,1.0,1.0,0.0,0.45002256592522105,1,3,0.7357723577235772,1,0.55775
1983-1984,1983,Dallas Mavericks,0.04940321985076,0.021430574250702283,0.524,4.0,10.0,1.0265332932750229,0.45002256592522105,0,0,0.32926829268292684,0,0.0091
1983-1984,1983,Denver Nuggets,-0.17553525212572405,-0.181445528655946,0.463,7.5,14.5,1.2514717652515068,0.45002256592522105,0,0,0.5203252032520326,0,0.0014
1983-1984,1983,Detroit Pistons,0.3993715509888375,0.5029041424164802,0.598,4.0,5.0,0.6765649621369453,0.45002256592522105,0,0,0.3943089430894309,0,0.02585
1983-1984,1983,Kansas City Kings,-0.17553525212572405,-0.23145020190758467,0.463,7.5,14.5,1.2514717652515068,0.45002256592522105,0,0,0.46747967479674796,0,0.00155
1983-1984,1983,Los Angeles Lakers,0.5716110106359417,0.4743300434155438,0.659,1.0,2.0,0.5043255024898411,0.45002256592522105,1,2,0.6869918699186992,0,0.17005
1983-1984,1983,Milwaukee Bucks,0.4463334679926912,0.575768094868868,0.61,3.0,4.0,0.6296030451330916,0.45002256592522105,0,2,0.6747967479674797,0,0.04445
1983-1984,1983,New Jersey Nets,0.22188483826201041,0.181445528655946,0.549,6.0,8.0,0.8540516748637723,0.45002256592522105,0,0,0.47560975609756095,0,0.0092
1983-1984,1983,New York Knicks,0.30832480740554596,0.5414791760677443,0.573,5.0,6.0,0.7676117057202367,0.45002256592522105,0,0,0.516260162601626,0,0.01315
1983-1984,1983,Philadelphia 76ers,0.5637985880434021,0.3414604830611897,0.634,2.0,3.0,0.5121379250823807,0.45002256592522105,1,3,0.7520325203252033,0,0.09345
1983-1984,1983,Phoenix Suns,-0.028682114035810877,0.09286582175304323,0.5,6.0,13.0,1.1046186271615936,0.45002256592522105,0,2,0.6341463414634146,0,0.0044
1983-1984,1983,Portland Trail Blazers,0.2886194225894427,0.4471846493646543,0.585,2.0,7.0,0.78731709053634,0.45002256592522105,0,0,0.540650406504065,0,0.04585
1983-1984,1983,Seattle SuperSonics,0.016313083099494082,-0.048575968301591846,0.512,5.0,11.0,1.0596234300262888,0.45002256592522105,0,0,0.5447154471544715,0,0.0064
1983-1984,1983,Utah Jazz,0.13969735395727637,0.11572510095379233,0.549,3.0,9.0,0.9362391591685064,0.45002256592522105,0,0,0.33739837398373984,0,0.0153
1983-1984,1983,Washington Bullets,-0.2266718958119895,-0.33717436821104924,0.427,8.0,18.0,1.3026084089377723,0.45002256592522105,0,0,0.5040650406504065,0,0.0004
1984-1985,1984,Boston Celtics,1.153894720888132,0.9243721026802917,0.768,1.0,1.0,0.0,0.5986864965584086,2,4,0.7408536585365854,0,0.3953
1984-1985,1984,Chicago Bulls,-0.11277311708542209,-0.07143524750234094,0.463,7.0,14.0,1.266667837973554,0.5986864965584086,0,0,0.40853658536585363,0,5e-05
1984-1985,1984,Cleveland Cavaliers,-0.2028823455898552,-0.3243160236606279,0.439,8.0,15.0,1.3567770664779872,0.5986864965584086,0,0,0.2865853658536585,0,0.00015
1984-1985,1984,Dallas Mavericks,0.10629162477644266,0.2571668910084274,0.537,4.0,8.0,1.0476030961116893,0.5986864965584086,0,0,0.3780487804878049,0,0.00255
1984-1985,1984,Denver Nuggets,0.4866342184208206,0.2928845147595978,0.634,2.0,5.0,0.6672605024673115,0.5986864965584086,0,0,0.5060975609756098,0,0.034
1984-1985,1984,Detroit Pistons,0.28776504915511625,0.39003645136278153,0.561,4.0,7.0,0.8661296717330158,0.5986864965584086,0,1,0.4451219512195122,0,0.00415
1984-1985,1984,Houston Rockets,0.29405888209426834,0.19716128310646097,0.585,3.0,6.0,0.8598358387938637,0.5986864965584086,0,0,0.3932926829268293,0,0.0101
1984-1985,1984,Los Angeles Lakers,0.9979971434245761,0.9258008076303387,0.756,1.0,2.0,0.15589757746355593,0.5986864965584086,1,2,0.6798780487804879,1,0.3372
1984-1985,1984,Milwaukee Bucks,0.9271335195017146,0.9572323165313686,0.72,2.0,3.0,0.22676120138641742,0.5986864965584086,0,3,0.6585365853658537,0,0.1235
1984-1985,1984,New Jersey Nets,0.09870208263170592,0.0914371168029964,0.512,5.0,9.0,1.055192638256426,0.5986864965584086,0,0,0.49390243902439024,0,0.00075
1984-1985,1984,Philadelphia 76ers,0.8848493134200179,0.5957699641695234,0.707,3.0,4.0,0.2690454074681141,0.5986864965584086,1,3,0.7225609756097561,0,0.08915
1984-1985,1984,Phoenix Suns,-0.2854814021697143,-0.3343169583109556,0.439,8.0,16.0,1.4393761230578463,0.5986864965584086,0,2,0.600609756097561,0,0.0
1984-1985,1984,Portland Trail Blazers,-0.005437393243240559,0.40003738601310923,0.512,5.0,11.0,1.1593321141313726,0.5986864965584086,0,0,0.551829268292683,0,0.00125
