season,start_year,n_teams,n_games,paper_cb_win,win_pct_sd,noll_scully,hhi_wins,rsd_wins,closeness,paper_cb_rating,rating_sd,dominance,cluster,pc1,pc2
1981-1982,1981,23,82,1.6598192672697833,0.15274026624569673,2.766243873912869,0.04736018820375395,0.3055203876388494,0.11978260869565219,0.20672954511944144,3.890789722412613,75.0,2,-1.4389133930527152,2.3368151032843216
1982-1983,1982,23,82,1.7392527130926088,0.16128869606473004,2.9210625225882385,0.0478055077936551,0.322568782153762,0.13152173913043477,0.2329368313249049,4.561229378000538,75.0,2,0.308474788700108,2.438251212977714
1983-1984,1983,23,82,1.4487926007541592,0.11458402167717546,2.0752048939270207,0.04565987704231323,0.22903701123932113,0.09126086956521738,0.19292821938985089,3.0886874426812883,41.666666666666664,2,-6.446145866095767,1.5090835586692457
1984-1985,1984,23,82,1.6077935190813526,0.1462402998370924,2.648524475483133,0.047036319411098586,0.2924980938920914,0.11239130434782608,0.20875193663353858,3.931478214185677,75.0,2,-2.26465127201885,2.2206167264856163
1985-1986,1985,23,82,1.6379865689315036,0.14367022790874864,2.601978493195396,0.046910370436177046,0.2872744934361287,0.11665217391304343,0.1961145035495739,4.0359418333535775,80.0,2,-2.184984295770012,2.0442456996863347
1986-1987,1986,23,82,1.6382917933017915,0.15443648681091532,2.7969637349074357,0.0474411554019178,0.30869013645744225,0.11669565217391305,0.2190776308057661,4.596325607581462,41.666666666666664,2,-0.8910143913478556,2.4242367135527823
1987-1988,1987,23,82,1.7184295155751952,0.15749645833272496,2.8523821761908734,0.04760308979824549,0.3149339399181317,0.1283913043478261,0.2384957015696956,4.665723638954499,50.0,2,-0.05105965289957688,2.3397272964808677
1988-1989,1988,25,82,1.8146625030566979,0.1622216796033543,2.9379595731278085,0.04404140392623438,0.3244146943533134,0.13172,0.26897228453922456,5.347551215276017,31.25,1,1.2326356042041868,1.3944405675287372
1989-1990,1989,27,82,1.9382982226685346,0.173985959088985,3.1510197363579593,0.041353822150085394,0.34790230433558467,0.13914814814814816,0.26010365270359126,4.7233955204032245,36.111111111111114,1,2.2142552653209013,0.8117468769579721
1990-1991,1990,27,82,1.9128512749296533,0.15810718892853415,2.863442977712266,0.040603076913033505,0.3162060592521073,0.1355185185185185,0.2689413521850841,4.926424418364453,32.5,1,0.9565739394555259,0.2786098959042765
1991-1992,1991,27,82,1.8737662607700034,0.15947883425551673,2.8882845311297736,0.040666727052696604,0.3190155543239367,0.13003703703703703,0.26723455892566184,4.78846328447662,18.18181818181818,1,0.6977869149848911,0.433007746206818
1992-1993,1992,27,82,1.8146625030566979,0.15841728768362698,2.869059105028711,0.04061450129707561,0.3167121627918828,0.12196296296296295,0.2505401817982646,4.823745751687486,18.75,1,0.25608193636851534,0.5400371837568575
1993-1994,1993,27,82,2.0241047403728887,0.17725198956927904,3.210170064101876,0.04152192380099049,0.354611512835475,0.15174074074074073,0.2937507744175015,5.155125405721761,7.6923076923076925,1,3.3999173212784917,0.705766379342282
1994-1995,1994,27,82,1.9063053270659451,0.1613078757197886,2.9214098809149824,0.04074669774099126,0.3225107424080052,0.13459259259259257,0.26672039114943663,4.779660014849368,7.142857142857142,1,1.0471349823117362,0.41759277331175504
1995-1996,1995,29,82,1.981161275615895,0.17127306575812554,3.1018871484587254,0.03839159211753946,0.34264355546516584,0.13534482758620692,0.27784229237874536,5.057293177749762,16.666666666666668,1,2.287486910452223,-0.054495950890574664
1996-1997,1996,29,82,2.1582400237230335,0.1909225592886294,3.457754611834829,0.03933944533610238,0.3819346207917802,0.1606206896551724,0.2930418811248284,5.287433214708249,17.1875,1,5.199159472514916,0.22635617941651884
1997-1998,1997,29,82,2.1068934477092096,0.1894470304330513,3.4310316476954394,0.03926163648980244,0.37886278556094,0.1530689655172414,0.29736782043839166,5.36007111102744,27.94117647058824,1,4.790069416012171,0.29404932757189406
1998-1999,1998,29,50,1.9287301521985911,0.1592841127401869,2.252617525077374,0.03786159334126041,0.31856822548037383,0.12827586206896552,0.2597195466815168,4.335789994550853,15.277777777777777,0,-0.41680581780556586,-0.723444774947205
1999-2000,1999,29,82,1.9447364860052376,0.16098667447837386,2.915592679019266,0.037931812571221614,0.32186145934888233,0.13041379310344828,0.2584028765107275,4.596924812740594,32.89473684210526,1,0.8728843267359124,-0.3203311800896255
