league,model,n_seasons,cv_r2,cv_mae
nba,Baseline (train mean),42,-9.691063260042828,19.93282653095362
nba,Lasso,42,-7.619139726669774,14.927808700990772
nba,ElasticNet,42,-7.743770480224246,15.443536481270778
nba,Random Forest,42,-6.4944729999159945,13.562987585022707
nfl,Baseline (train mean),53,-7.293311413093118,13.881380793214152
nfl,Lasso,53,-2.220908080992403,6.66455723384108
nfl,ElasticNet,53,-3.2559100929267446,8.621760264783608
nfl,Random Forest,53,-2.4492049406585052,7.337380808108568
ncaaf,Baseline (train mean),54,-0.8688687330897489,44.685555555555545
ncaaf,Lasso,54,-1.1953768997770453,47.29059451304552
ncaaf,ElasticNet,54,-1.035988565410197,47.11073152598371
ncaaf,Random Forest,54,-0.9700908434384545,45.79244734648069
