team,first,second
Atlanta Hawks,-0.4015,-0.2741
Boston Celtics,-0.08479999999999999,-0.21225000000000005
Charlotte Hornets,-0.0514,-0.0108
Chicago Bulls,3.0859,-0.6325
Cleveland Cavaliers,-0.32085,0.018750000000000044
Dallas Mavericks,-0.17830000000000001,-0.6536
Denver Nuggets,-0.1213,0.5237499999999999
Detroit Pistons,1.064,0.13144999999999996
Golden State Warriors,-0.0689,1.7047500000000002
Houston Rockets,1.69985,-0.7930999999999999
Indiana Pacers,-0.3535,-0.6238
Los Angeles Clippers,-0.0025,-0.35105
Los Angeles Lakers,2.2491,2.8698
Miami Heat,-0.28895,1.6844000000000001
Milwaukee Bucks,-0.5544,-0.08624999999999994
Minnesota Timberwolves,-0.01555,-0.2447
New Jersey Nets,-0.0249,-0.1507
New York Knicks,-0.5716,-0.0583
Orlando Magic,-0.3003,-0.35035
Philadelphia 76ers,-0.4767999999999999,-0.4283
Phoenix Suns,-1.0146,-1.3793
Portland Trail Blazers,-1.0169,-0.1623
Sacramento Kings,-0.10475000000000001,-0.6154499999999999
San Antonio Spurs,-0.15549999999999997,1.3736000000000002
Seattle SuperSonics,-0.9025500000000001,-0.03065
Toronto Raptors,-0.0133,0.30720000000000003
Utah Jazz,-1.0684,-0.4066
Washington Wizards,0.0,-0.0293
