team,n_seasons,autocorr,mean_strength,sd_strength
Atlanta Hawks,43,0.5627681195149636,-0.012476111498535393,0.5629823035262853
Boston Celtics,43,0.5818368341711809,0.2978484779478912,0.6523378517733851
Charlotte Hornets,23,0.5650944637542811,-0.12132602702790225,0.4984294537024441
Chicago Bulls,43,0.6893860465245485,0.07345839880230452,0.7895572865975715
Cleveland Cavaliers,43,0.5075975581806796,-0.10503119050914587,0.680460680243184
Dallas Mavericks,43,0.7607037879398909,0.02793867331119948,0.7730380782967675
Denver Nuggets,43,0.6118234219869837,-0.015657980765642357,0.6141380683017249
Detroit Pistons,43,0.6544284207197193,-0.007845046389893329,0.6481975033998069
Golden State Warriors,43,0.5332800065436076,-0.0928028180038321,0.7445569174024758
Houston Rockets,43,0.40900961775681044,0.17547793146752977,0.5839315033003076
Indiana Pacers,43,0.5437098058359716,0.029484609839535648,0.4736014461340714
Los Angeles Clippers,39,0.7490018516634548,-0.28368559470777627,0.7317756432193111
Los Angeles Lakers,43,0.6781704325386411,0.4460113247327474,0.6431020605354943
Memphis Grizzlies,22,0.5523238339087787,0.01057285897995608,0.6180697849010437
Miami Heat,35,0.5495173431665797,0.10299392303784653,0.6911515028712226
Milwaukee Bucks,43,0.6133927367539358,0.05049543337133347,0.5926616263779158
Minnesota Timberwolves,34,0.648820261080834,-0.3976413812900597,0.6456562011118951
New Jersey Nets,32,0.47599580687929877,-0.3235800947526834,0.5518840182598782
New York Knicks,43,0.5462066880729014,-0.11464657635218178,0.5917245454620318
Oklahoma City Thunder,15,0.504262438297901,0.29070512827266365,0.6746187984800289
Orlando Magic,34,0.6131537546589918,-0.14598927395949132,0.6628949766807265
Philadelphia 76ers,43,0.7494070630195482,-0.02220646897488562,0.7155153843084313
Phoenix Suns,43,0.4913766894004356,0.2282669141801277,0.6355483647971288
Portland Trail Blazers,43,0.4963871235883224,0.2438049217830461,0.4514456080085249
Sacramento Kings,38,0.7272543907533402,-0.28545286447563895,0.5666402195884337
San Antonio Spurs,43,0.5273831967214788,0.47688056340924256,0.678004594777368
Seattle SuperSonics,28,0.5981991024750292,0.19308143863244842,0.5544039432628804
Toronto Raptors,28,0.47452033297284213,-0.10964527919762194,0.6261354939501254
Utah Jazz,43,0.6595861330310249,0.30818473509188754,0.49618404142983524
Washington Bullets,17,0.6867307672688511,-0.2852879832525133,0.42811408363448816
Washington Wizards,26,0.33120073275846595,-0.34118729397430986,0.4551379886223907
