,expected_titles,variance,actual_titles,excess,z
Los Angeles Lakers,4.8811,3.30063261,10.0,5.1189,2.8175916554341707
Chicago Bulls,3.5466,1.8302799399999998,6.0,2.4534,1.8134667660306136
Golden State Warriors,2.36415,1.0638770125,4.0,1.63585,1.5859802171229118
Miami Heat,1.60455,1.1442133024999999,3.0,1.39545,1.3045501640771509
San Antonio Spurs,3.7819000000000003,2.88577752,5.0,1.2180999999999997,0.7170534343472842
Detroit Pistons,1.8045499999999999,1.2461168974999999,3.0,1.1954500000000001,1.0709076569844989
Houston Rockets,1.0932499999999998,0.7887479275,2.0,0.9067500000000002,1.0209828538284145
Denver Nuggets,0.59755,0.5517535524999999,1.0,0.40245,0.5418004516010736
Toronto Raptors,0.7061,0.58544202,1.0,0.29390000000000005,0.3841117927168524
New Orleans/Oklahoma City Hornets,0.0,0.0,0.0,0.0,0.0
Vancouver Grizzlies,0.0,0.0,0.0,0.0,0.0
San Diego Clippers,0.0,0.0,0.0,0.0,0.0
Charlotte Bobcats,0.00215,0.0021476775000000004,0.0,-0.00215,-0.046393156947476394
Washington Bullets,0.0035499999999999998,0.0035471775,0.0,-0.0035499999999999998,-0.05960557646623253
Kansas City Kings,0.00375,0.0037441975,0.0,-0.00375,-0.06128467583593615
New Orleans Pelicans,0.0079,0.00784635,0.0,-0.0079,-0.08918529495300005
Washington Wizards,0.0293,0.028980315,0.0,-0.0293,-0.17211394911491174
Charlotte Hornets,0.0622,0.061565925,0.0,-0.0622,-0.25068028525606906
New Orleans Hornets,0.08585,0.0813077675,0.0,-0.08585,-0.30107471310285056
Brooklyn Nets,0.13705,0.12328795750000002,0.0,-0.13705,-0.3903181179503595
New Jersey Nets,0.1756,0.16498162,0.0,-0.1756,-0.4323213959817087
Minnesota Timberwolves,0.26025,0.22371901250000004,0.0,-0.26025,-0.5502236979124608
Memphis Grizzlies,0.28985,0.26907163749999996,0.0,-0.28985,-0.5587780578165092
Boston Celtics,4.29705,2.5981701425000003,4.0,-0.2970499999999996,-0.18428745091942905
Cleveland Cavaliers,1.3021,0.9406039549999999,1.0,-0.30210000000000004,-0.311492306831126
Los Angeles Clippers,0.35355,0.3319494675,0.0,-0.35355,-0.6136416844818087
Oklahoma City Thunder,0.5974999999999999,0.511737875,0.0,-0.5974999999999999,-0.8352454700625586
New York Knicks,0.6299,0.5365000900000001,0.0,-0.6299,-0.8599767475991328
Milwaukee Bucks,1.64065,1.2727568625,1.0,-0.6406499999999999,-0.5678689289087279
Orlando Magic,0.6506500000000001,0.5585822975,0.0,-0.6506500000000001,-0.8705703065241106
Atlanta Hawks,0.6756000000000001,0.5929966,0.0,-0.6756000000000001,-0.8773311294186721
Sacramento Kings,0.7202,0.5604568,0.0,-0.7202,-0.9620154472367357
Dallas Mavericks,1.8318999999999999,1.224424135,1.0,-0.8318999999999999,-0.7518049546524166
Philadelphia 76ers,1.9051,1.3521531850000001,1.0,-0.9051,-0.7783655698741959
Seattle SuperSonics,0.9332,0.722352775,0.0,-0.9332,-1.0979942286755633
Indiana Pacers,0.9773000000000001,0.7642301549999999,0.0,-0.9773000000000001,-1.1179330966568486
Portland Trail Blazers,1.1792,0.9650713699999999,0.0,-1.1792,-1.2003496068051729
Utah Jazz,1.475,1.2151645549999999,0.0,-1.475,-1.3380565667082505
Phoenix Suns,2.3939,1.713127495,0.0,-2.3939,-1.8289892885329226
