season,team,title_prob
1980-1981,Atlanta Hawks,0.0
1980-1981,Boston Celtics,0.37495
1980-1981,Chicago Bulls,0.00125
1980-1981,Cleveland Cavaliers,0.0
1980-1981,Dallas Mavericks,0.0
1980-1981,Denver Nuggets,0.0002
1980-1981,Detroit Pistons,0.0
1980-1981,Golden State Warriors,0.00015
1980-1981,Houston Rockets,0.0003
1980-1981,Indiana Pacers,0.00055
1980-1981,Kansas City Kings,0.0004
1980-1981,Los Angeles Lakers,0.06155
1980-1981,Milwaukee Bucks,0.1265
1980-1981,New Jersey Nets,0.0
1980-1981,New York Knicks,0.01315
1980-1981,Philadelphia 76ers,0.2438
1980-1981,Phoenix Suns,0.1466
1980-1981,Portland Trail Blazers,0.00335
1980-1981,San Antonio Spurs,0.0271
1980-1981,San Diego Clippers,0.0
1980-1981,Seattle SuperSonics,0.0
1980-1981,Utah Jazz,0.0
1980-1981,Washington Bullets,0.00015
1981-1982,Atlanta Hawks,0.00125
1981-1982,Boston Celtics,0.5196
1981-1982,Chicago Bulls,0.0
1981-1982,Cleveland Cavaliers,0.0
1981-1982,Dallas Mavericks,0.0
1981-1982,Denver Nuggets,0.00585
1981-1982,Detroit Pistons,0.0002
1981-1982,Golden State Warriors,0.00415
1981-1982,Houston Rockets,0.00635
1981-1982,Indiana Pacers,0.0
1981-1982,Kansas City Kings,0.0
1981-1982,Los Angeles Lakers,0.16495
1981-1982,Milwaukee Bucks,0.06225
1981-1982,New Jersey Nets,0.00265
1981-1982,New York Knicks,0.0
1981-1982,Philadelphia 76ers,0.16385
1981-1982,Phoenix Suns,0.00755
1981-1982,Portland Trail Blazers,0.00115
1981-1982,San Antonio Spurs,0.01295
1981-1982,San Diego Clippers,0.0
1981-1982,Seattle SuperSonics,0.046
1981-1982,Utah Jazz,0.0
1981-1982,Washington Bullets,0.00125
1982-1983,Atlanta Hawks,0.0011
1982-1983,Boston Celtics,0.0966
1982-1983,Chicago Bulls,0.0
1982-1983,Cleveland Cavaliers,0.0
1982-1983,Dallas Mavericks,0.0001
1982-1983,Denver Nuggets,0.00245
1982-1983,Detroit Pistons,0.0
1982-1983,Golden State Warriors,0.0
1982-1983,Houston Rockets,0.0
1982-1983,Indiana Pacers,0.0
1982-1983,Kansas City Kings,0.0018
1982-1983,Los Angeles Lakers,0.17405
1982-1983,Milwaukee Bucks,0.0214
1982-1983,New Jersey Nets,0.0097
1982-1983,New York Knicks,0.0013
1982-1983,Philadelphia 76ers,0.5979
1982-1983,Phoenix Suns,0.04205
1982-1983,Portland Trail Blazers,0.004
1982-1983,San Antonio Spurs,0.03775
1982-1983,San Diego Clippers,0.0
1982-1983,Seattle SuperSonics,0.00925
1982-1983,Utah Jazz,0.0
1982-1983,Washington Bullets,0.00055
1983-1984,Atlanta Hawks,0.0017
1983-1984,Boston Celtics,0.55775
1983-1984,Chicago Bulls,0.0
1983-1984,Cleveland Cavaliers,0.0
1983-1984,Dallas Mavericks,0.0091
1983-1984,Denver Nuggets,0.0014
1983-1984,Detroit Pistons,0.02585
1983-1984,Golden State Warriors,0.0
1983-1984,Houston Rockets,0.0
1983-1984,Indiana Pacers,0.0
1983-1984,Kansas City Kings,0.00155
1983-1984,Los Angeles Lakers,0.17005
1983-1984,Milwaukee Bucks,0.04445
1983-1984,New Jersey Nets,0.0092
1983-1984,New York Knicks,0.01315
1983-1984,Philadelphia 76ers,0.09345
1983-1984,Phoenix Suns,0.0044
1983-1984,Portland Trail Blazers,0.04585
1983-1984,San Antonio Spurs,0.0
1983-1984,San Diego Clippers,0.0
1983-1984,Seattle SuperSonics,0.0064
1983-1984,Utah Jazz,0.0153
1983-1984,Washington Bullets,0.0004
1984-1985,Atlanta Hawks,0.0
1984-1985,Boston Celtics,0.3953
1984-1985,Chicago Bulls,5e-05
1984-1985,Cleveland Cavaliers,0.00015
1984-1985,Dallas Mavericks,0.00255
1984-1985,Denver Nuggets,0.034
1984-1985,Detroit Pistons,0.00415
1984-1985,Golden State Warriors,0.0
1984-1985,Houston Rockets,0.0101
1984-1985,Indiana Pacers,0.0
1984-1985,Kansas City Kings,0.0
1984-1985,Los Angeles Clippers,0.0
1984-1985,Los Angeles Lakers,0.3372
1984-1985,Milwaukee Bucks,0.1235
1984-1985,New Jersey Nets,0.00075
1984-1985,New York Knicks,0.0
1984-1985,Philadelphia 76ers,0.08915
1984-1985,Phoenix Suns,0.0
1984-1985,Portland Trail Blazers,0.00125
1984-1985,San Antonio Spurs,0.00085
1984-1985,Seattle SuperSonics,0.0
1984-1985,Utah Jazz,0.0008
1984-1985,Washington Bullets,0.0002
1985-1986,Atlanta Hawks,0.00625
1985-1986,Boston Celtics,0.59775
1985-1986,Chicago Bulls,0.0
1985-1986,Cleveland Cavaliers,0.0
1985-1986,Dallas Mavericks,0.00185
1985-1986,Denver Nuggets,0.0059
1985-1986,Detroit Pistons,0.00145
1985-1986,Golden State Warriors,0.0
1985-1986,Houston Rockets,0.02315
1985-1986,Indiana Pacers,0.0
1985-1986,Los Angeles Clippers,0.0
1985-1986,Los Angeles Lakers,0.26795
1985-1986,Milwaukee Bucks,0.0666
1985-1986,New Jersey Nets,5e-05
1985-1986,New York Knicks,0.0
1985-1986,Philadelphia 76ers,0.0275
1985-1986,Phoenix Suns,0.0
1985-1986,Portland Trail Blazers,0.00035
1985-1986,Sacramento Kings,0.00015
1985-1986,San Antonio Spurs,0.0001
1985-1986,Seattle SuperSonics,0.0
1985-1986,Utah Jazz,0.00085
1985-1986,Washington Bullets,0.0001
1986-1987,Atlanta Hawks,0.12445
1986-1987,Boston Celtics,0.19545
1986-1987,Chicago Bulls,0.00025
1986-1987,Cleveland Cavaliers,0.0
1986-1987,Dallas Mavericks,0.05775
1986-1987,Denver Nuggets,5e-05
1986-1987,Detroit Pistons,0.0293
1986-1987,Golden State Warriors,0.00115
1986-1987,Houston Rockets,0.0007
1986-1987,Indiana Pacers,0.0008
1986-1987,Los Angeles Clippers,0.0
1986-1987,Los Angeles Lakers,0.5588
1986-1987,Milwaukee Bucks,0.01585
1986-1987,New Jersey Nets,0.0
1986-1987,New York Knicks,0.0
1986-1987,Philadelphia 76ers,0.00275
1986-1987,Phoenix Suns,0.0
1986-1987,Portland Trail Blazers,0.00925
1986-1987,Sacramento Kings,0.0
1986-1987,San Antonio Spurs,0.0
1986-1987,Seattle SuperSonics,0.00015
1986-1987,Utah Jazz,0.00245
1986-1987,Washington Bullets,0.00085
1987-1988,Atlanta Hawks,0.03565
1987-1988,Boston Celtics,0.21795
1987-1988,Chicago Bulls,0.0307
1987-1988,Cleveland Cavaliers,0.002
1987-1988,Dallas Mavericks,0.0486
1987-1988,Denver Nuggets,0.06925
1987-1988,Detroit Pistons,0.11705
1987-1988,Golden State Warriors,0.0
1987-1988,Houston Rockets,0.00345
1987-1988,Indiana Pacers,0.0003
1987-1988,Los Angeles Clippers,0.0
1987-1988,Los Angeles Lakers,0.43045
1987-1988,Milwaukee Bucks,0.00225
1987-1988,New Jersey Nets,0.0
1987-1988,New York Knicks,0.00055
1987-1988,Philadelphia 76ers,0.0
1987-1988,Phoenix Suns,0.0
1987-1988,Portland Trail Blazers,0.0353
1987-1988,Sacramento Kings,0.0
1987-1988,San Antonio Spurs,0.0
1987-1988,Seattle SuperSonics,0.00175
1987-1988,Utah Jazz,0.00475
1987-1988,Washington Bullets,0.0
1988-1989,Atlanta Hawks,0.0372
1988-1989,Boston Celtics,0.00045
1988-1989,Charlotte Hornets,0.0
1988-1989,Chicago Bulls,0.0069
1988-1989,Cleveland Cavaliers,0.1575
1988-1989,Dallas Mavericks,0.0
1988-1989,Denver Nuggets,0.00155
1988-1989,Detroit Pistons,0.50275
1988-1989,Golden State Warriors,0.00115
1988-1989,Houston Rockets,0.0023
1988-1989,Indiana Pacers,0.0
1988-1989,Los Angeles Clippers,0.0
1988-1989,Los Angeles Lakers,0.1518
1988-1989,Miami Heat,0.0
1988-1989,Milwaukee Bucks,0.01105
1988-1989,New Jersey Nets,0.0
1988-1989,New York Knicks,0.0206
1988-1989,Philadelphia 76ers,0.00345
1988-1989,Phoenix Suns,0.07575
1988-1989,Portland Trail Blazers,0.00015
1988-1989,Sacramento Kings,0.0
1988-1989,San Antonio Spurs,0.0
1988-1989,Seattle SuperSonics,0.0073
1988-1989,Utah Jazz,0.0201
1988-1989,Washington Bullets,0.0
1989-1990,Atlanta Hawks,0.0
1989-1990,Boston Celtics,0.02105
1989-1990,Charlotte Hornets,0.0
1989-1990,Chicago Bulls,0.07855
1989-1990,Cleveland Cavaliers,0.00045
1989-1990,Dallas Mavericks,0.00245
1989-1990,Denver Nuggets,0.00035
1989-1990,Detroit Pistons,0.2118
1989-1990,Golden State Warriors,0.0
1989-1990,Houston Rockets,5e-05
1989-1990,Indiana Pacers,0.00045
1989-1990,Los Angeles Clippers,0.0
1989-1990,Los Angeles Lakers,0.372
1989-1990,Miami Heat,0.0
1989-1990,Milwaukee Bucks,0.00175
1989-1990,Minnesota Timberwolves,0.0
1989-1990,New Jersey Nets,0.0
1989-1990,New York Knicks,0.0014
1989-1990,Orlando Magic,0.0
1989-1990,Philadelphia 76ers,0.03215
1989-1990,Phoenix Suns,0.022
1989-1990,Portland Trail Blazers,0.1682
1989-1990,Sacramento Kings,0.0
